UpperName	miRGate.name	Accession	Name
HSA-MIR-328-3P	hsa-mir-328-3p	MIMAT0000752	hsa-miR-328-3p
HSA-MIR-328-5P	hsa-mir-328-5p	MIMAT0026486	hsa-miR-328-5p
HSA-MIR-330-5P	hsa-mir-330-5p	MIMAT0004693	hsa-miR-330-5p
HSA-MIR-331-3P	hsa-mir-331-3p	MIMAT0000760	hsa-miR-331-3p
HSA-MIR-335-3P	hsa-mir-335-3p	MIMAT0004703	hsa-miR-335-3p
HSA-MIR-338-3P	hsa-mir-338-3p	MIMAT0000763	hsa-miR-338-3p
HSA-MIR-339-5P	hsa-mir-339-5p	MIMAT0000764	hsa-miR-339-5p
HSA-MIR-342-5P	hsa-mir-342-5p	MIMAT0004694	hsa-miR-342-5p
HSA-MIR-34B-3P	hsa-mir-34b-3p	MIMAT0004676	hsa-miR-34b-3p
HSA-MIR-34B-5P	hsa-mir-34b-5p	MIMAT0000685	hsa-miR-34b-5p
HSA-MIR-3605-5P	hsa-mir-3605-5p	MIMAT0017981	hsa-miR-3605-5p
HSA-MIR-3607-3P	hsa-mir-3607-3p	MIMAT0017985	hsa-miR-3607-3p
HSA-MIR-3609	hsa-mir-3609	MIMAT0017986	hsa-miR-3609
HSA-MIR-3611	hsa-mir-3611	MIMAT0017988	hsa-miR-3611
HSA-MIR-3612	hsa-mir-3612	MIMAT0017989	hsa-miR-3612
HSA-MIR-3613-3P	hsa-mir-3613-3p	MIMAT0017991	hsa-miR-3613-3p
HSA-MIR-361-3P	hsa-mir-361-3p	MIMAT0004682	hsa-miR-361-3p
HSA-MIR-3614-3P	hsa-mir-3614-3p	MIMAT0017993	hsa-miR-3614-3p
HSA-MIR-3615	hsa-mir-3615	MIMAT0017994	hsa-miR-3615
HSA-MIR-3616-3P	hsa-mir-3616-3p	MIMAT0017996	hsa-miR-3616-3p
HSA-MIR-3617-3P	hsa-mir-3617-3p	MIMAT0022966	hsa-miR-3617-3p
HSA-MIR-3618	hsa-mir-3618	MIMAT0017998	hsa-miR-3618
HSA-MIR-3619-5P	hsa-mir-3619-5p	MIMAT0017999	hsa-miR-3619-5p
